2025-05-06 16:39:44,076 [INFO] Orderbook database initialized.
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for VIBUSDT
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for BTCUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for ETHUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for BNBUSDT
2025-05-06 16:39:44,888 [INFO] [VIBUSDT] websocket opened
2025-05-06 16:39:44,891 [INFO] [ETHUSDT] websocket opened
2025-05-06 16:39:44,898 [INFO] [BTCUSDT] websocket opened
2025-05-06 16:39:44,899 [INFO] [BNBUSDT] websocket opened
2025-05-06 16:42:27,920 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:28,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:28,916 [INFO] [BTCUSDT] Bid 94187.9900, Ask 94188.0000, Spread 0.0100
2025-05-06 16:42:28,920 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:29,008 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:29,917 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:29,920 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:30,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:30,916 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:30,920 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:31,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:31,916 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:31,921 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:32,022 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:32,916 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:32,922 [INFO] [ETHUSDT] Bid 1797.9900, Ask 1798.0000, Spread 0.0100
2025-05-06 16:42:33,012 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:34,137 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:34,139 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:34,139 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:34,922 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:34,923 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:35,021 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:35,920 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:35,921 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:36,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:36,918 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:36,923 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:37,013 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:37,918 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:37,928 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:38,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:38,917 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:38,920 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:39,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:39,972 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:39,972 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:40,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:40,921 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:40,932 [INFO] [ETHUSDT] Bid 1797.8300, Ask 1797.8400, Spread 0.0100
2025-05-06 16:42:41,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:41,922 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:41,922 [INFO] [ETHUSDT] Bid 1797.6000, Ask 1797.6100, Spread 0.0100
2025-05-06 16:42:42,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:42,916 [INFO] [BTCUSDT] Bid 94195.9900, Ask 94196.0000, Spread 0.0100
2025-05-06 16:42:42,921 [INFO] [ETHUSDT] Bid 1797.4100, Ask 1797.4200, Spread 0.0100
2025-05-06 16:42:43,023 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:43,923 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:43,924 [INFO] [ETHUSDT] Bid 1797.4100, Ask 1797.4200, Spread 0.0100
2025-05-06 16:42:44,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:44,937 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:44,938 [INFO] [ETHUSDT] Bid 1797.4100, Ask 1797.4200, Spread 0.0100
2025-05-06 16:42:45,010 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:45,923 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:45,925 [INFO] [ETHUSDT] Bid 1797.4100, Ask 1797.4200, Spread 0.0100
2025-05-06 16:42:46,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:47,035 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:47,037 [INFO] [ETHUSDT] Bid 1797.4100, Ask 1797.4200, Spread 0.0100
2025-05-06 16:42:47,038 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:47,923 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:47,923 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:48,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:48,916 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:48,921 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:49,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:49,920 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:49,920 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:50,012 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:50,917 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:50,921 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:51,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:51,922 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:51,923 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:52,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:52,923 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:52,924 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:53,009 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:53,916 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:53,921 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:54,011 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:55,021 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:55,021 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:55,021 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:55,916 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
2025-05-06 16:42:55,922 [INFO] [ETHUSDT] Bid 1797.6500, Ask 1797.6600, Spread 0.0100
2025-05-06 16:42:56,012 [INFO] [BNBUSDT] Bid 598.4900, Ask 598.5000, Spread 0.0100
2025-05-06 16:42:56,915 [INFO] [BTCUSDT] Bid 94191.9800, Ask 94191.9900, Spread 0.0100
